Id;Amount;Vol_total;Btw_pour;Pour_time;Time;Dev_id;Brand_id;CustomerId;LocationId;CreationDate;CL;ConvertedAmount;ConvertedCL;SelectedCL;TimeUTC;Flow_0;FlowRate;Mode;TapId;StopCondition;Temp_after;Temp_before
3309166;0;721;11;6275;2019-04-18 01:38:09.000;844e-0000-0f01-071a;1;78;96;17.04.2019 22:38;0;0;0;30;2019-04-17 22:38:09.000;1,964912;1,903963;0;302;0;3,099999905;10,39999962
3309420;11;2966;39579;26900;2019-04-18 12:38:14.000;844e-0000-0f01-071a;1;78;96;18.04.2019 09:38;0;11;0;0;2019-04-18 09:38:14.000;0;0;10;302;0;2;22
3309424;11;1690;45;16625;2019-04-18 12:39:17.000;844e-0000-0f01-071a;1;78;96;18.04.2019 09:39;0;11;0;0;2019-04-18 09:39:17.000;0;0;10;302;0;1,600000024;8,699999809
3309433;11;1756;483;16075;2019-04-18 12:47:36.000;844e-0000-0f01-071a;1;78;96;18.04.2019 09:47;0;11;0;0;2019-04-18 09:47:36.000;0;0;10;302;0;2,599999905;12,60000038
3309792;2;2852;10622;24425;2019-04-18 15:45:04.000;844e-0000-0f01-071a;1;78;96;18.04.2019 12:45;50;2;50;50;2019-04-18 12:45:04.000;3,328321;2,019789;0;302;0;2,700000048;24,29999924
3310290;2;2850;6226;24550;2019-04-18 17:29:15.000;844e-0000-0f01-071a;1;78;96;18.04.2019 14:29;50;2;50;50;2019-04-18 14:29:15.000;2,687206;2,008075;0;302;0;3,099999905;23,89999962
3310452;0;1879;1251;16175;2019-04-18 17:50:24.000;844e-0000-0f01-071a;1;78;96;18.04.2019 14:50;0;1;30;50;2019-04-18 14:50:24.000;2,526316;1,994631;0;302;0;4,199999809;19,29999924
3310680;2;2850;1389;13750;2019-04-18 18:13:48.000;844e-0000-0f01-071a;1;78;96;18.04.2019 15:13;50;2;50;50;2019-04-18 15:13:48.000;2,526316;3,585327;1;302;0;2,099999905;18,89999962
3310682;0;806;3;4975;2019-04-18 18:13:57.000;844e-0000-0f01-071a;1;78;96;18.04.2019 15:14;0;0;0;30;2019-04-18 15:13:57.000;1,842105;2,701226;1;302;0;1,799999952;3,5
3310804;2;2852;677;13725;2019-04-18 18:25:29.000;844e-0000-0f01-071a;1;78;96;18.04.2019 15:25;50;2;50;50;2019-04-18 15:25:29.000;2,473684;3,594414;1;302;0;1,5;14,69999981
3310907;2;2854;609;13775;2019-04-18 18:35:53.000;844e-0000-0f01-071a;1;78;96;18.04.2019 15:37;50;2;50;50;2019-04-18 15:35:53.000;2,464698;3,583915;1;302;0;1,5;13,69999981
3310910;2;2854;12;13950;2019-04-18 18:36:20.000;844e-0000-0f01-071a;1;78;96;18.04.2019 15:38;50;2;50;50;2019-04-18 15:36:20.000;1,877193;3,538955;1;302;0;0,699999988;5,599999905
3311148;2;2851;1237;13700;2019-04-18 18:57:12.000;844e-0000-0f01-071a;1;78;96;18.04.2019 15:57;50;2;50;50;2019-04-18 15:57:12.000;2,464698;3,599693;1;302;0;1,799999952;16,20000076
3311149;0;193;1;1700;2019-04-18 18:57:15.000;844e-0000-0f01-071a;1;78;96;18.04.2019 15:57;0;0;0;30;2019-04-18 15:57:15.000;1,859649;1,578947;1;302;0;2;2,200000048
3311231;2;2854;401;13975;2019-04-18 19:04:11.000;844e-0000-0f01-071a;1;78;96;18.04.2019 16:04;50;2;50;50;2019-04-18 16:04:11.000;2;3,532624;1;302;0;1,299999952;11,80000019
3311233;0;601;1;4100;2019-04-18 19:04:18.000;844e-0000-0f01-071a;1;78;96;18.04.2019 16:04;0;0;0;30;2019-04-18 16:04:18.000;1,789474;2,400513;1;302;0;1,100000024;1,600000024
3311341;2;2851;694;13750;2019-04-18 19:16:07.000;844e-0000-0f01-071a;1;78;96;18.04.2019 16:16;50;2;50;50;2019-04-18 16:16:07.000;2,385965;3,586603;1;302;0;1,399999976;13,30000019
3311543;1;1712;908;8700;2019-04-18 19:31:24.000;844e-0000-0f01-071a;1;78;96;18.04.2019 16:31;30;1;30;30;2019-04-18 16:31:24.000;2,430466;3,371648;1;302;0;2,599999905;15
3311552;1;1711;1;13000;2019-04-18 19:31:39.000;844e-0000-0f01-071a;1;78;96;18.04.2019 16:32;30;1;30;30;2019-04-18 16:31:39.000;1,263158;2,255061;0;302;0;1,700000048;3,200000048
3311555;0;669;8;4275;2019-04-18 19:31:52.000;844e-0000-0f01-071a;1;78;96;18.04.2019 16:32;0;0;0;30;2019-04-18 16:31:52.000;1,929825;2,581307;1;302;0;1,299999952;4,300000191
3311557;2;2853;3;13975;2019-04-18 19:32:10.000;844e-0000-0f01-071a;1;78;96;18.04.2019 16:32;50;2;50;50;2019-04-18 16:32:10.000;1,842105;3,531368;1;302;0;0,800000012;2,200000048
3311563;2;2850;26;13950;2019-04-18 19:32:51.000;844e-0000-0f01-071a;1;78;96;2019-04-18 16:32:52.050;50;2;50;50;2019-04-18 16:32:51.000;1,877193;3,533924;1;302;0;0,699999988;3,599999905
3311813;2;2851;1041;24325;2019-04-18 19:50:38.000;844e-0000-0f01-071a;1;78;96;18.04.2019 16:50;50;2;50;50;2019-04-18 16:50:38.000;2,32777;2,02737;0;302;0;1,899999976;14,60000038
3311965;1;1710;733;14425;2019-04-18 20:03:07.000;844e-0000-0f01-071a;1;78;96;18.04.2019 17:03;30;1;30;30;2019-04-18 17:03:07.000;2,481814;2,031074;0;302;0;3;13,60000038
3311985;2;2852;44;13900;2019-04-18 20:04:06.000;844e-0000-0f01-071a;1;78;96;18.04.2019 17:04;50;2;50;50;2019-04-18 17:04:06.000;2,052632;3,549161;1;302;0;0,800000012;8,199999809
3312309;2;2852;1231;17000;2019-04-18 20:24:55.000;844e-0000-0f01-071a;1;78;96;18.04.2019 17:24;50;2;50;50;2019-04-18 17:24:55.000;2,684211;2,901961;0;302;0;2,299999952;16,10000038
3312354;2;2851;247;24800;2019-04-18 20:29:27.000;844e-0000-0f01-071a;1;78;96;18.04.2019 17:29;50;2;50;50;2019-04-18 17:29:27.000;2,315789;1,98854;0;302;0;1,100000024;10,10000038
3312356;2;2850;1;13950;2019-04-18 20:29:44.000;844e-0000-0f01-071a;1;78;96;18.04.2019 17:29;50;2;50;50;2019-04-18 17:29:44.000;1,245614;3,533924;1;302;0;0,699999988;1,5
3312465;2;2852;444;13450;2019-04-18 20:37:23.000;844e-0000-0f01-071a;1;78;96;18.04.2019 17:37;50;2;50;50;2019-04-18 17:37:23.000;3,105263;3,667906;1;302;0;1,200000048;10,39999962
3312526;2;2852;235;13500;2019-04-18 20:41:32.000;844e-0000-0f01-071a;1;78;96;18.04.2019 17:41;50;2;50;50;2019-04-18 17:41:32.000;3,035088;3,654321;1;302;0;0,800000012;8,5
3312527;2;2852;2;13750;2019-04-18 20:41:49.000;844e-0000-0f01-071a;1;78;96;18.04.2019 17:41;50;2;50;50;2019-04-18 17:41:49.000;2,41335;3,587879;1;302;0;0,600000024;1,200000048
